nombre_vsx,ra,dec,clase_variable
Gaia DR3 384345181526283520,0.03724,42.38776,RS
Gaia DR3 420477336942450176,0.0374,55.18062,DSCT|GDOR|SXPHE
Gaia DR3 393361043733024384,0.03743,48.87354,ROT
Gaia DR3 394020716356179456,0.03745,50.61253,ROT
Gaia DR3 4919427610667433728,0.03747,-57.4868,ROT
Gaia DR3 420514131917935232,0.03762,55.60414,ROT
Gaia DR3 528607193063440000,0.03763,67.77336,YSO
ZTF J000009.03+624212.9,0.03764,62.7036,EW
Gaia DR3 384342986799584256,0.03775,42.28409,ROT
ZTF J000009.08+653558.5,0.03786,65.59961,EW
Gaia DR3 431595632888445056,0.03796,63.51159,S
Gaia DR3 429941795599748352,0.03803,62.37349,DSCT|GDOR|SXPHE
ASASSN-V J000009.13+593812.2,0.03803,59.63673,SR
Gaia DR3 421084267361846400,0.03853,57.28015,ROT
Gaia DR3 396316664130618368,0.03855,54.31427,ROT
Gaia DR3 396313747855515776,0.03869,54.13509,E
CSS_J000009.3+053523,0.03901,5.58986,RRAB
ASASSN-V J000009.38+754049.9,0.03907,75.68053,ROT
Gaia DR3 393888809320015104,0.03937,50.03766,ROT
Gaia DR3 429941245843985792,0.0394,62.33087,VAR
Gaia DR3 2880066324074761088,0.0394,36.02762,E
Gaia DR3 531424584231127808,0.03944,72.34567,RS
TYC 4018-723-1,0.03958,62.45992,SRB
Gaia DR3 396272103851922688,0.03976,53.67821,ROT
Gaia DR3 429529994136054656,0.03977,61.84063,DSCT|GDOR|SXPHE
Gaia DR3 384457198568313728,0.03978,42.85028,S
ZTF J000009.62+550138.0,0.04012,55.02724,EW
Gaia DR3 429381040360921088,0.04014,60.95279,ROT
Gaia DR3 2745076949366533376,0.04025,5.77217,RRC
Gaia DR3 4976482368546388352,0.04037,-51.09508,ROT
Gaia DR3 431641189594587648,0.04037,64.12472,S
ZTF J000009.73+594815.0,0.04055,59.80419,EW
ZTF J000009.82+621415.1,0.04095,62.23755,RS
Gaia DR3 4994496492175582976,0.04104,-44.8543,ROT
Gaia DR3 2847991237725802496,0.0411,22.44985,ROT
SSS_J000009.9-062234,0.04117,-6.37619,EA
ZTF J000009.88+674756.5,0.04117,67.79904,RS
Gaia DR3 429484398762406784,0.04128,61.24616,RS
Gaia DR3 431639437247087360,0.04129,64.06258,RS
Gaia DR3 384318763184039808,0.0414,42.1662,ROT
ASASSN-V J000009.94+612905.3,0.0414,61.48481,EA
Gaia DR3 395575563237363584,0.04144,51.5106,ROT
ZTF J000009.97+633851.6,0.04155,63.64767,SR
Gaia DR3 396316118677424512,0.04164,54.26921,ROT
NSVS J0000100+740822,0.04172,74.13931,L:
Gaia DR3 422765936026785024,0.04174,58.64498,E
ZTF J000010.01+634623.2,0.04174,63.77312,EB:
Gaia DR3 2853585174930839680,0.04192,27.00998,ROT
Gaia DR3 423338094401540736,0.04193,60.38432,DSCT|GDOR|SXPHE
Gaia DR3 421085744830156288,0.04206,57.29856,ROT
Gaia DR3 2848521683366862592,0.0423,24.46214,ROT
Gaia DR3 4901417537189200896,0.04242,-63.44858,E
ZTF J000010.20+723108.8,0.04253,72.51912,RS
Gaia DR3 422598810268269696,0.04258,57.70193,DSCT|GDOR|SXPHE
MGAB-V1292,0.04267,66.34894,YSO
ZTF J000010.25+495140.4,0.04271,49.86123,EW
Gaia DR3 2881749233996363264,0.04272,39.01739,ROT
Gaia DR3 420344811430572800,0.04273,54.54385,ROT
Gaia DR3 396138508886532608,0.04273,53.05054,ROT
PS1-3PI J000010.25-023058.6,0.04274,-2.51629,RRAB
Gaia DR3 4995993339817730944,0.04275,-41.76712,ROT
Gaia DR3 420476752826916864,0.04282,55.11582,S
Gaia DR3 395717846912000384,0.0429,52.31938,ROT
Gaia DR3 393501918664295680,0.04292,49.6739,ROT
ZTF J000010.37+540718.0,0.04323,54.12167,BY
CSS 120828:000010-215515,0.04331,-21.92086,RRAB
Gaia DR3 395577109424687616,0.04333,51.54945,RS
Gaia DR3 4977961142966863232,0.0435,-48.33167,ROT
Gaia DR3 2449402913854190848,0.04396,-2.13985,ROT
Gaia DR3 396167096189309312,0.04405,53.33898,VAR
ZTF J000010.57+673541.3,0.04408,67.59482,RS
Gaia DR3 420901164315516672,0.04431,55.98017,ROT
Gaia DR3 2765632937723528192,0.04435,10.85447,ROT
Gaia DR3 431738363239023104,0.04448,64.3302,ROT
Gaia DR3 431641228262345728,0.04475,64.12963,ROT
ZTF J000010.74+621848.9,0.04477,62.31359,EW
Gaia DR3 429952206601293952,0.04485,62.59779,S
Gaia DR3 2848525218124634752,0.04529,24.52945,ROT
Gaia DR3 385012967338272256,0.04535,44.28513,ROT
Gaia DR3 4976482368546383488,0.04542,-51.09431,ROT
Gaia DR3 393358844709782912,0.04544,48.77011,ROT
Gaia DR3 422764286769289216,0.04548,58.59938,E
Gaia DR3 430092944091743488,0.04557,63.3516,ROT
Gaia DR3 2850028117376049280,0.04557,24.6523,VAR
Gaia DR3 2882189966360750592,0.0456,40.68033,ROT
Gaia DR3 386568359677914496,0.04562,45.25333,ROT
