id_objeto,nombre_vsx,clase_variable,ra_x,dec_x,tic_id,tic_ra,tic_dec,origen_etiqueta,clase_variable_normalizada,ra_y,dec_y
TIC_MISSING,ZTF J000016.38+103255.5,EW,0.06829,10.54876,408504573.0,0.0682764618074139,10.5487723890307,VSX,EW,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J000020.4+103118,EA,0.08475,10.52208,408504568.0,0.0847556751013229,10.5220878195145,VSX,EA,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765689665651603072,ROT,0.09545,11.36995,408504756.0,0.09544712007649948,11.3699480105955,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765687157390702720,VAR,0.14013,11.382,418752642.0,0.140130725031442,11.3819995227435,VSX,Irregular,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765271541994703104,ROT,0.14408,10.30822,418752420.0,0.144077778381418,10.3082242528767,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765264292089912576,ROT,0.15509,10.12616,418752381.0,0.155088316580296,10.1261645570783,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765747630530247040,ROT,0.18596,11.6476,418752691.0,0.185962237598219,11.6476016427172,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765641939975021696,ROT,0.22332,11.03259,418752566.0,0.223318842160622,11.0325882241783,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765750963424875520,DSCT|GDOR|SXPHE,0.23892,11.76813,418752717.0,0.2389204196082999,11.7681266399247,VSX,Delta_Scuti,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765328441721460608,VAR,0.24517,10.52071,418752457.0,0.245168158705413,10.5207139281893,VSX,Irregular,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765754021441589888,ROT,0.24828,11.78462,418752721.0,0.248275559115669,11.7846172357347,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765698496104395008,YSO,0.28175,11.52173,405266654.0,0.2817531549948429,11.5217238959439,VSX,YSO,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765431555296696448,S,0.45689,10.73871,408505148.0,0.456880359146563,10.7387288373263,VSX,S,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2766077346579497344,ROT,0.49062,11.71714,408504911.0,0.490620396570775,11.717138881176,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2766135826854189184,ROT,0.51981,11.99689,405247604.0,0.519810081412867,11.9968887588679,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765438839561260928,ROT,0.52305,10.9511,403021120.0,0.523048928831466,10.9511006687846,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765683858855875968,ROT,0.53907,11.48733,403021021.0,0.539068140316123,11.4873264807518,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765482442069243008,ROT,0.54837,11.21073,403021074.0,0.548367629580712,11.2107284816305,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765383348583785344,ROT,0.61635,10.66271,403021173.0,0.61635431547981,10.6627119077557,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765381355718985216,ROT,0.79492,10.69151,405268910.0,0.794923730240422,10.691506198954,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,ASASSN-V J000314.23+103957.3,EW,0.80929,10.66592,405268906.0,0.8093193812999508,10.6658803229416,VSX,EW,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765459627201438464,L,0.83847,10.96411,405268960.0,0.8384623812431429,10.9641013804272,VSX,L,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765411626648523392,RS,0.86086,10.88973,405269402.0,0.860865039160429,10.8897266955493,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765465674516972416,ROT,0.87856,11.00483,405269384.0,0.878562944711433,11.0048304196721,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2766064216862393856,ROT,0.90146,11.64283,405269244.0,0.901463695328049,11.6428279989742,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,ASASSN-V J000342.09+114804.8,EW,0.92537,11.80138,405269204.0,0.925368180122146,11.8013786263062,VSX,EW,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J000348.2+110934,RRAB,0.95106,11.15965,611192146.0,0.9509903151165248,11.1598955369814,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765363557374528896,ROT,0.97136,10.50735,405269469.0,0.97136100037349,10.5073523584058,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765849571577055744,ROT,0.97986,11.27656,405269328.0,0.979860969873195,11.2765607808105,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2766097721904435072,ROT,1.02565,11.95558,611196726.0,1.02588723065415,11.9561650736597,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765421144296072448,ROT,1.05684,11.08128,405271505.0,1.0568539614738,11.0812999996994,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753334075532767104,E,1.25382,10.27277,611162221.0,1.25381378207377,10.2727744397866,VSX,E,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765790855080761216,ROT,1.26178,10.98754,405292491.0,1.26178187066181,10.9875433854528,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753374070268269696,RS,1.2934,10.50016,405292380.0,1.29339732273474,10.5001648344353,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765886718750864512,ROT,1.32365,11.64315,405292637.0,1.32364896277984,11.6431453774646,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765883248417294464,ROT,1.35274,11.52654,403023073.0,1.35273802334029,11.5265402922082,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765884141770775296,ROT,1.36576,11.60164,403023091.0,1.36575746526174,11.6016392545295,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765799857332239744,ROT,1.38149,11.14753,403022999.0,1.38148948250846,11.147529827449,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765887199787201280,ROT,1.38395,11.67251,403023108.0,1.38395187356563,11.6725137934895,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765806591840976128,ROT,1.39023,11.3241,403023033.0,1.39022992480943,11.3241031442889,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753275934558768896,YSO,1.3987,10.02135,403022779.0,1.3987364362967,10.0213651699315,VSX,YSO,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765781577951431168,ROT,1.41869,11.07476,403022974.0,1.41869412657755,11.0747602422863,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753306656461602944,ROT,1.45675,10.2365,403022810.0,1.45674657426701,10.2364995214879,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,ZTF J000554.61+111304.9,RS:,1.47758,11.21804,403023311.0,1.47756038459656,11.218000878278,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765893831216750848,RS,1.4881,11.75866,403023213.0,1.48809638233275,11.758657369421,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765802125075017728,ROT,1.49599,11.24173,403023303.0,1.49599158590114,11.2417355908254,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,ASASSN-V J000605.31+102155.2,RRC,1.52213,10.36534,403023514.0,1.52213086971809,10.3653326426581,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765892834784338560,ROT,1.5315,11.72847,403023220.0,1.5315001091077,11.7284738620921,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753305625669454208,E,1.54008,10.21642,403023552.0,1.54007708216921,10.2164198752942,VSX,E,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765787109869357440,ROT,1.55519,11.11985,403023343.0,1.55519093489084,11.1198503803137,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753363899785753600,ROT,1.58376,10.47742,403023487.0,1.58375807116403,10.4774185906119,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753301158903470208,ROT,1.58714,10.12082,403023571.0,1.58713837288524,10.1208163412143,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765888368018353024,ROT,1.59152,11.63613,403023234.0,1.59151904355351,11.6361271357122,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,PS1-3PI J000622.51+102726.7,RRAB,1.5938,10.45744,611162548.0,1.59383054607049,10.4574073174778,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765840470543070592,ROT,1.60483,11.55083,403025359.0,1.60483230587728,11.5508295285537,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753745975779876096,ROT,1.61938,10.66559,403025152.0,1.6193808438076,10.6655912812862,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2766002682866926464,RS,1.61955,11.94637,403025427.0,1.61955470714485,11.9463701013296,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR2 2753772776375889408,RRAB,1.64252,10.9844,611166884.0,1.64251980997433,10.9843790486045,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
